"","id","clicks","cond","week"
"217",656637,9,"A",1
"218",976715,30,"B",1
"219",990646,25,"A",1
"223",623987,12,"A",1
"224",734386,13,"B",1
"227",861904,3,"A",1
"228",658335,9,"B",1
"229",641398,54,"A",1
"233",836166,35,"A",1
"236",546831,5,"B",1
"237",872613,10,"A",1
"238",950319,27,"B",1
"239",989548,55,"A",1
"240",542028,30,"B",1
"242",934444,7,"B",1
"243",991553,43,"A",1
"247",786770,9,"A",1
"248",820216,18,"B",1
"249",126551,9,"A",1
"255",316244,26,"A",1
"256",479163,2,"B",1
"265",349803,2,"A",1
"268",797032,1,"B",1
"269",390407,6,"A",1
"271",926082,57,"A",1
"273",269451,71,"A",1
"274",269969,4,"B",1
"276",641228,21,"B",1
"278",557027,54,"B",1
"279",622564,35,"A",1
"280",651019,12,"B",1
"285",410411,10,"A",1
"286",162465,24,"B",1
"287",604172,16,"A",1
"294",446222,28,"B",1
"295",441010,8,"A",1
"297",917561,12,"A",1
"298",633323,3,"B",1
"299",480006,27,"A",1
"300",958132,3,"B",1
"301",202123,24,"A",1
"308",357385,13,"B",1
"310",655419,24,"B",1
"312",211580,36,"B",1
"317",189898,3,"A",1
"318",530165,9,"B",1
"319",634893,26,"A",1
"320",392122,4,"B",1
"321",703172,8,"A",1
"322",682143,20,"B",1
"323",649049,5,"A",1
"324",236653,49,"B",1
"325",928848,8,"A",1
"327",369929,13,"A",1
"329",665233,6,"A",1
"332",248192,17,"B",1
"333",465254,11,"A",1
"334",668302,14,"B",1
"335",403450,3,"A",1
"336",272216,31,"B",1
"337",788585,25,"A",1
"339",653044,40,"A",1
"340",907133,23,"B",1
"342",399462,22,"B",1
"350",252166,19,"B",1
"352",345857,2,"B",1
"353",274883,14,"A",1
"356",147997,4,"B",1
"358",926964,36,"B",1
"360",878813,3,"B",1
"362",509716,2,"B",1
"366",487086,25,"B",1
"367",689040,4,"A",1
"370",759915,27,"B",1
"372",294490,29,"B",1
"375",348844,1,"A",1
"376",833360,16,"B",1
"378",257284,5,"B",1
"382",243407,15,"B",1
"386",473828,1,"B",1
"387",279579,13,"A",1
"388",312930,27,"B",1
"389",184107,71,"A",1
"390",861141,10,"B",1
"392",335114,4,"B",1
"398",669874,12,"B",1
"400",997168,1,"B",1
"401",564849,22,"A",1
"405",169301,10,"A",1
"406",388804,2,"B",1
"407",315055,16,"A",1
"408",507608,2,"B",1
"410",748773,21,"B",1
"411",841299,6,"A",1
"413",501206,24,"A",1
"414",424900,16,"B",1
"415",609317,28,"A",1
"416",405691,13,"B",1
"417",941524,6,"A",1
"418",550911,1,"B",1
"419",311487,26,"A",1
"421",675136,66,"A",1
"425",674347,15,"A",1
"426",822395,2,"B",1
"428",610571,6,"B",1
"429",769971,23,"A",1
"432",758720,43,"B",1
"433",390120,1,"A",1
"436",645252,6,"B",1
"437",333038,29,"A",1
"438",657504,46,"B",1
"440",234683,12,"B",1
"441",399648,33,"A",1
"442",329910,13,"B",1
"443",428815,32,"A",1
"445",733912,19,"A",1
"447",883984,11,"A",1
"448",490587,11,"B",1
"451",187362,11,"A",1
"453",668112,4,"A",1
"455",207691,18,"A",1
"456",940815,2,"B",1
"457",474188,9,"A",1
"459",575861,34,"A",1
"460",689106,36,"B",1
"462",864153,4,"B",1
"463",826574,16,"A",1
"464",211470,4,"B",1
"465",297826,51,"A",1
"467",206175,36,"A",1
"470",216798,4,"B",1
"473",893672,10,"A",1
"475",723709,2,"A",1
"476",851328,5,"B",1
"479",996410,12,"A",1
"480",498151,1,"B",1
"485",734652,12,"A",1
"486",858589,20,"B",1
"490",871923,4,"B",1
"491",197625,8,"A",1
"492",502170,8,"B",1
"494",554535,49,"B",1
"495",864142,10,"A",1
"496",455230,18,"B",1
"497",899482,35,"A",1
"499",387221,15,"A",1
"500",180366,36,"B",1
"501",983888,44,"A",1
"502",147701,23,"B",1
"505",875206,34,"A",1
"514",890074,28,"B",1
"516",634187,12,"B",1
"517",274229,16,"A",1
"523",146574,23,"A",1
"524",612041,4,"B",1
"525",266234,4,"A",1
"526",550573,11,"B",1
"527",891431,41,"A",1
"529",653385,12,"A",1
"531",520353,20,"A",1
"535",264460,13,"A",1
"537",421611,4,"A",1
"540",611236,27,"B",1
"542",860240,13,"B",1
"549",853389,11,"A",1
"552",814916,13,"B",1
"554",122319,9,"B",1
"555",319594,15,"A",1
"560",608663,1,"B",1
"562",571333,23,"B",1
"564",134090,6,"B",1
"565",309142,17,"A",1
"567",764245,24,"A",1
"569",773563,29,"A",1
"570",523690,52,"B",1
"571",716966,27,"A",1
"572",822963,32,"B",1
"576",861820,26,"B",1
"577",341143,6,"A",1
"582",425110,31,"B",1
"583",241823,26,"A",1
"584",407323,62,"B",1
"585",200048,48,"A",1
"586",336836,9,"B",1
"587",609824,20,"A",1
"589",487273,13,"A",1
"591",856415,2,"A",1
"593",163526,24,"A",1
"594",833924,47,"B",1
"601",399654,36,"A",1
"606",253099,15,"B",1
"607",261325,3,"A",1
"608",889811,7,"B",1
"609",309359,27,"A",1
"610",542436,9,"B",1
"611",750880,22,"A",1
"612",922563,26,"B",1
"615",365028,21,"A",1
"618",977699,14,"B",1
"619",337557,15,"A",1
"623",137584,29,"A",1
"624",265406,28,"B",1
"626",395465,2,"B",1
"628",883285,37,"B",1
"629",165907,1,"A",1
"631",419030,6,"A",1
"633",904498,2,"A",1
"635",898734,19,"A",1
"636",495935,19,"B",1
"637",181252,21,"A",1
"638",656982,14,"B",1
"639",499746,3,"A",1
"642",612196,2,"B",1
"643",588491,13,"A",1
"644",852912,38,"B",1
"647",844472,76,"A",1
"650",227626,26,"B",1
"651",714766,22,"A",1
"653",319346,10,"A",1
"655",198308,26,"A",1
"657",722396,7,"A",1
"658",385574,25,"B",1
"666",612171,58,"B",1
"668",536041,54,"B",1
"669",201241,6,"A",1
"675",992597,15,"A",1
"676",212995,2,"B",1
"678",292486,41,"B",1
"679",505516,25,"A",1
"688",735313,38,"B",1
"689",126368,13,"A",1
"690",517811,29,"B",1
"691",907730,18,"A",1
"697",909959,18,"A",1
"700",148292,11,"B",1
"702",376137,22,"B",1
"706",440028,16,"B",1
"710",305457,17,"B",1
"712",989630,6,"B",1
"713",415442,8,"A",1
"715",616940,5,"A",1
"716",417311,37,"B",1
"717",934516,41,"A",1
"719",546993,28,"A",1
"722",686337,47,"B",1
"723",820606,37,"A",1
"725",291233,17,"A",1
"726",841839,25,"B",1
"727",325738,15,"A",1
"728",134475,24,"B",1
"729",662986,34,"A",1
"730",792448,29,"B",1
"736",383660,8,"B",1
"737",568033,1,"A",1
"738",192152,15,"B",1
"739",692319,83,"A",1
"740",949059,20,"B",1
"743",409608,1,"A",1
"744",757790,40,"B",1
"745",372179,20,"A",1
"752",473061,4,"B",1
"755",654218,10,"A",1
"757",200274,21,"A",1
"758",875273,10,"B",1
"761",475195,49,"A",1
"766",991989,3,"B",1
"767",945486,9,"A",1
"768",604891,6,"B",1
"769",762016,2,"A",1
"772",741747,5,"B",1
"774",477192,15,"B",1
"777",481824,9,"A",1
"780",459155,28,"B",1
"781",965937,36,"A",1
"782",747426,2,"B",1
"783",214702,1,"A",1
"784",298617,8,"B",1
"786",934402,14,"B",1
"787",769006,52,"A",1
"789",631359,15,"A",1
"790",408101,42,"B",1
"795",656131,8,"A",1
"798",249232,4,"B",1
"800",216420,19,"B",1
"801",386511,18,"A",1
"802",920833,14,"B",1
"803",400116,6,"A",1
"804",678340,16,"B",1
"807",251249,6,"A",1
"808",960261,37,"B",1
"809",615031,6,"A",1
"810",495657,1,"B",1
"812",467000,58,"B",1
"814",805897,2,"B",1
"822",665553,41,"B",1
"823",658290,8,"A",1
"827",306346,6,"A",1
"829",464805,2,"A",1
"830",467875,5,"B",1
"831",785376,2,"A",1
"832",255861,12,"B",1
"834",243422,18,"B",1
"835",569381,13,"A",1
"840",170157,27,"B",1
"841",743906,20,"A",1
"842",252772,24,"B",1
"843",805139,66,"A",1
"844",865428,30,"B",1
"847",871816,20,"A",1
"853",234957,7,"A",1
"855",416971,4,"A",1
"856",497827,19,"B",1
"857",683797,23,"A",1
"858",564632,4,"B",1
"861",146155,68,"A",1
"862",361031,1,"B",1
"863",430055,8,"A",1
"864",237960,11,"B",1
"865",331856,7,"A",1
"870",996876,1,"B",1
"872",383054,10,"B",1
"876",695408,4,"B",1
"879",353000,12,"A",1
"882",848367,17,"B",1
"885",442380,49,"A",1
"886",985147,18,"B",1
"888",777390,7,"B",1
"892",608909,19,"B",1
"893",403348,7,"A",1
"894",460848,45,"B",1
"901",989196,3,"A",1
"902",969396,31,"B",1
"904",369428,28,"B",1
"906",779546,65,"B",1
"908",256428,63,"B",1
"909",559497,4,"A",1
"910",226720,17,"B",1
"911",843973,14,"A",1
"913",369681,5,"A",1
"922",612003,19,"B",1
"923",749780,10,"A",1
"926",723386,8,"B",1
"927",982231,43,"A",1
"930",232874,6,"B",1
"931",323651,20,"A",1
"933",469887,58,"A",1
"934",613817,34,"B",1
"935",522752,30,"A",1
"936",849146,4,"B",1
"938",248718,26,"B",1
"940",713275,38,"B",1
"942",416418,40,"B",1
"944",198128,50,"B",1
"945",132890,20,"A",1
"947",798191,23,"A",1
"948",408859,6,"B",1
"950",283250,3,"B",1
"951",855190,34,"A",1
"952",361067,20,"B",1
"954",274410,16,"B",1
"956",209636,14,"B",1
"958",951971,1,"B",1
"961",659508,22,"A",1
"962",535155,60,"B",1
"963",182781,19,"A",1
"967",850022,1,"A",1
"974",790716,10,"B",1
"976",691219,32,"B",1
"977",649659,75,"A",1
"980",470613,6,"B",1
"981",754783,23,"A",1
"983",182216,34,"A",1
"984",310788,28,"B",1
"987",695850,13,"A",1
"988",595588,41,"B",1
"989",573222,10,"A",1
"990",553700,12,"B",1
"991",422621,14,"A",1
"994",355628,16,"B",1
"995",242548,23,"A",1
"996",498008,16,"B",1
"1003",631590,23,"A",1
"1004",454923,17,"B",1
"1006",381623,5,"B",1
"1007",431930,55,"A",1
"1010",704873,7,"B",1
"1012",235799,1,"B",1
"1014",601442,7,"B",1
"1016",330681,28,"B",1
"1019",657675,7,"A",1
"1020",254491,23,"B",1
"1025",214759,28,"A",1
"1026",416896,59,"B",1
"1027",723329,21,"A",1
"1033",991669,24,"A",1
"1036",724634,10,"B",1
"1039",372173,33,"A",1
"1040",978314,31,"B",1
"1042",144993,45,"B",1
"1044",374536,21,"B",1
"1048",218747,3,"B",1
"1050",560264,5,"B",1
"1051",677978,2,"A",1
"1056",502541,7,"B",1
"1060",909284,3,"B",1
"1065",150847,21,"A",1
"1068",893755,17,"B",1
"1075",230781,12,"A",1
"1077",176857,38,"A",1
"1079",613174,15,"A",1
"1081",655500,12,"A",1
"1083",612089,8,"A",1
"1087",554123,20,"A",1
"1089",987758,13,"A",1
"1091",691351,28,"A",1
"1092",149301,22,"B",1
"1093",593788,8,"A",1
"1097",212972,8,"A",1
"1098",534480,2,"B",1
"1099",466834,7,"A",1
"1106",871015,9,"B",1
"1110",734448,53,"B",1
"1111",653920,44,"A",1
"1112",668829,27,"B",1
"1113",467673,19,"A",1
"1114",293130,4,"B",1
"1115",802254,1,"A",1
"1117",273925,27,"A",1
"1118",826699,9,"B",1
"1119",201385,22,"A",1
"1121",871430,5,"A",1
"1126",951275,32,"B",1
"1128",365442,38,"B",1
"1129",582511,1,"A",1
"1130",441784,5,"B",1
"1131",455433,15,"A",1
"1132",814695,15,"B",1
"1138",242536,21,"B",1
"1139",526146,17,"A",1
"1142",964913,46,"B",1
"1145",883263,36,"A",1
"1147",695054,6,"A",1
"1148",795773,51,"B",1
"1154",523643,26,"B",1
"1155",351919,17,"A",1
"1162",623741,16,"B",1
"1163",695924,35,"A",1
"1164",518307,6,"B",1
"1166",522004,8,"B",1
"1167",301709,50,"A",1
"1182",425473,58,"B",1
"1184",430896,21,"B",1
"1188",445981,14,"B",1
"1192",337182,39,"B",1
"1194",614148,17,"B",1
"1196",399699,5,"B",1
"1199",677718,15,"A",1
"1200",617251,32,"B",1
"1201",737364,20,"A",1
"1203",449924,14,"A",1
"1204",839698,10,"B",1
"1206",280241,34,"B",1
"1207",384663,22,"A",1
"1208",518180,11,"B",1
"1210",251084,13,"B",1
"1211",793687,9,"A",1
"1213",630434,21,"A",1
"1214",901305,26,"B",1
"1216",539519,3,"B",1
"1217",565811,25,"A",1
"1221",170775,26,"A",1
"1224",958656,32,"B",1
"1225",826979,34,"A",1
"1226",386350,22,"B",1
"1230",602710,7,"B",1
"1231",537897,18,"A",1
"1234",706884,2,"B",1
"1235",876706,37,"A",1
"1240",691591,39,"B",1
"1245",152515,39,"A",1
"1246",788752,43,"B",1
"1247",646647,7,"A",1
"1249",947619,1,"A",1
"1250",175911,22,"B",1
"1251",223158,2,"A",1
"1255",981411,3,"A",1
"1258",716704,21,"B",1
"1260",394805,23,"B",1
"1261",163601,24,"A",1
"1262",201725,18,"B",1
"1263",199114,66,"A",1
"1266",197798,12,"B",1
"1267",158956,13,"A",1
"1268",367375,17,"B",1
"1272",842222,9,"B",1
"1274",315810,20,"B",1
"1276",482319,25,"B",1
"1277",896282,20,"A",1
"1279",339902,54,"A",1
"1282",669523,4,"B",1
"1283",918722,27,"A",1
"1284",508552,5,"B",1
"1287",249814,30,"A",1
"1288",131238,6,"B",1
"1293",267786,26,"A",1
"1300",636002,29,"B",1
"1301",292674,8,"A",1
"1302",361875,1,"B",1
"1303",496885,22,"A",1
"1305",385138,7,"A",1
"1307",322805,30,"A",1
"1308",826958,39,"B",1
"1310",416462,16,"B",1
"1313",570993,3,"A",1
"1316",776744,3,"B",1
"1318",131584,29,"B",1
"1319",930821,22,"A",1
"1320",968676,15,"B",1
"1322",600109,1,"B",1
"1323",263490,8,"A",1
"1324",833913,19,"B",1
"1325",989125,18,"A",1
"1326",547585,10,"B",1
"1327",793872,3,"A",1
"1331",862535,24,"A",1
"1333",896608,9,"A",1
"1338",870594,27,"B",1
"1339",897531,31,"A",1
"1342",416066,27,"B",1
"1354",243084,37,"B",1
"1355",387236,39,"A",1
"1357",573097,27,"A",1
"1358",255464,5,"B",1
"1360",347724,15,"B",1
"1363",465768,16,"A",1
"1366",360048,33,"B",1
"1367",683429,34,"A",1
"1371",773802,16,"A",1
"1375",966920,13,"A",1
"1380",217710,22,"B",1
"1383",893239,16,"A",1
"1384",987250,15,"B",1
"1387",630342,22,"A",1
"1391",925044,4,"A",1
"1393",243809,8,"A",1
"1395",673760,25,"A",1
"1396",567704,25,"B",1
"1397",564587,22,"A",1
"1402",955797,17,"B",1
"1404",820325,20,"B",1
"1406",501950,21,"B",1
"1413",608930,26,"A",1
"1414",726737,27,"B",1
"1418",386883,11,"B",1
"1420",664943,2,"B",1
"1421",331176,20,"A",1
"1422",374596,9,"B",1
"1423",250457,8,"A",1
"1424",774604,7,"B",1
"1425",883006,23,"A",1
"1426",713734,21,"B",1
"1428",210739,24,"B",1
"1439",749985,24,"A",1
"1440",215695,17,"B",1
"1444",789772,17,"B",1
"1445",148056,14,"A",1
"1448",851158,7,"B",1
"1449",789890,28,"A",1
"1451",602728,17,"A",1
"1453",644076,12,"A",1
"1454",403399,37,"B",1
"1455",776911,24,"A",1
"1457",433607,36,"A",1
"1461",501143,5,"A",1
"1462",719808,2,"B",1
"1463",744286,2,"A",1
"1464",495099,2,"B",1
"1465",850476,3,"A",1
"1468",417015,22,"B",1
"1469",791859,15,"A",1
"1470",686366,13,"B",1
"1471",632246,16,"A",1
"1472",463054,18,"B",1
"1474",919951,20,"B",1
"1477",681298,31,"A",1
"1478",597551,23,"B",1
"1480",363158,1,"B",1
"1488",667934,45,"B",1
"1489",615835,13,"A",1
"1492",924826,15,"B",1
"1493",252754,40,"A",1
"1494",725593,30,"B",1
"1498",295959,45,"B",1
"1499",730733,9,"A",1
"1500",418300,22,"B",1
"1503",313761,6,"A",1
"1506",748812,27,"B",1
"1507",853402,29,"A",1
"1509",497839,33,"A",1
"1510",256532,32,"B",1
"1515",632006,4,"A",1
"1516",302230,13,"B",1
"1517",889422,43,"A",1
"1521",381107,15,"A",1
"1524",555801,14,"B",1
"1525",471704,29,"A",1
"1532",880606,14,"B",1
"1533",329793,18,"A",1
"1534",962436,4,"B",1
"1536",477953,9,"B",1
"1539",713556,27,"A",1
"1541",620912,68,"A",1
"1542",237963,21,"B",1
"1544",283410,3,"B",1
"1546",234013,7,"B",1
"1547",454339,21,"A",1
"1548",832700,34,"B",1
"1550",565065,24,"B",1
"1551",631490,24,"A",1
"1552",439516,50,"B",1
"1554",390423,25,"B",1
"1557",982173,5,"A",1
"1563",913695,23,"A",1
"1565",675987,20,"A",1
"1567",200105,46,"A",1
"1568",432984,36,"B",1
"1574",374103,23,"B",1
"1576",522464,21,"B",1
"1578",512985,19,"B",1
"1580",503674,17,"B",1
"1584",623528,2,"B",1
"1585",266391,3,"A",1
"1586",186511,52,"B",1
"1588",212526,14,"B",1
"1592",502295,19,"B",1
"1593",309167,13,"A",1
"1594",927689,39,"B",1
"1598",381625,47,"B",1
"1599",539047,3,"A",1
"1600",651722,18,"B",1
"1602",267836,4,"B",1
"1603",553487,54,"A",1
"1604",932914,11,"B",1
"1605",491711,9,"A",1
"1608",412496,39,"B",1
"1610",674513,1,"B",1
"1611",485849,12,"A",1
"1612",313279,50,"B",1
"1615",653777,2,"A",1
"1617",643115,1,"A",1
"1619",722722,14,"A",1
"1620",916306,15,"B",1
"1622",958909,15,"B",1
"1625",529850,16,"A",1
"1626",432482,19,"B",1
"1628",471201,27,"B",1
"1629",931370,8,"A",1
"1631",815993,2,"A",1
"1633",715441,33,"A",1
"1634",507234,5,"B",1
"1635",279629,11,"A",1
"1637",266308,1,"A",1
"1639",678800,38,"A",1
"1640",153228,12,"B",1
"1641",328318,5,"A",1
"1642",819282,5,"B",1
"1645",786602,6,"A",1
"1646",965920,33,"B",1
"1648",337200,31,"B",1
"1650",350528,57,"B",1
"1652",364607,48,"B",1
"1654",236802,34,"B",1
"1655",649630,9,"A",1
"1658",425278,15,"B",1
"1660",572996,11,"B",1
"1662",687265,19,"B",1
"1663",975419,51,"A",1
"1665",719795,16,"A",1
"1672",827959,89,"B",1
"1674",430184,29,"B",1
"1675",591684,9,"A",1
"1677",316574,19,"A",1
"1679",670125,23,"A",1
"1680",714935,7,"B",1
"1682",875852,23,"B",1
"1683",781454,1,"A",1
"1684",542522,32,"B",1
"1685",700657,9,"A",1
"1686",182717,16,"B",1
"1687",750549,1,"A",1
"1689",924135,1,"A",1
"1690",527603,12,"B",1
"1691",920940,5,"A",1
"1693",449293,15,"A",1
"1694",598507,36,"B",1
"1695",838288,19,"A",1
"1696",931773,28,"B",1
"1697",658019,8,"A",1
"1698",647699,42,"B",1
"1699",945805,4,"A",1
"1701",443981,1,"A",1
"1702",418866,32,"B",1
"1703",720809,44,"A",1
"1706",360935,3,"B",1
"1707",755093,16,"A",1
"1708",394904,25,"B",1
"1709",405177,25,"A",1
"1712",154121,8,"B",1
"1714",903646,6,"B",1
"1715",812879,32,"A",1
"1716",384964,18,"B",1
"1717",601889,18,"A",1
"1720",831767,30,"B",1
"1722",137048,14,"B",1
"1723",169708,23,"A",1
"1724",228272,19,"B",1
"1725",132997,11,"A",1
"1728",353727,26,"B",1
"1730",791901,4,"B",1
"1731",943702,57,"A",1
"1734",939103,16,"B",1
"1736",601315,53,"B",1
"1739",252471,30,"A",1
"1740",880437,21,"B",1
"1741",478321,8,"A",1
"1743",652620,15,"A",1
"1748",218370,7,"B",1
"1752",814294,33,"B",1
"1754",229474,6,"B",1
"1755",270356,18,"A",1
"1756",335247,33,"B",1
"1757",985322,11,"A",1
"1759",817824,12,"A",1
"1760",254062,24,"B",1
"1762",564950,1,"B",1
"1768",406080,8,"B",1
"1769",246283,9,"A",1
"1771",563741,2,"A",1
"1773",795516,15,"A",1
"1775",671102,1,"A",1
"1777",168203,72,"A",1
"1780",245925,6,"B",1
"1781",499458,43,"A",1
"1786",594125,50,"B",1
"1788",446620,31,"B",1
"1794",492175,38,"B",1
"1795",812959,23,"A",1
"1798",472318,31,"B",1
"1802",130683,36,"B",1
"1804",976488,20,"B",1
"1805",324286,12,"A",1
"1806",123441,26,"B",1
"1807",492794,14,"A",1
"1810",515666,29,"B",1
"1813",665002,4,"A",1
"1815",424091,24,"A",1
"1819",571737,28,"A",1
"1821",389496,42,"A",1
"1826",686184,43,"B",1
"1829",890397,28,"A",1
"1830",890069,9,"B",1
"1834",680822,37,"B",1
"1835",337168,24,"A",1
"1837",127639,14,"A",1
"1839",464904,16,"A",1
"1840",657557,22,"B",1
"1841",626888,12,"A",1
"1843",212055,15,"A",1
"1846",381277,5,"B",1
"1849",463546,62,"A",1
"1853",521243,30,"A",1
"1854",962860,28,"B",1
"1856",806768,14,"B",1
"1862",918276,5,"B",1
"1864",445998,24,"B",1
"1865",939925,1,"A",1
"1866",622021,15,"B",1
"1868",579679,47,"B",1
"1876",691636,24,"B",1
"1878",185372,40,"B",1
"1879",518555,19,"A",1
"1880",878239,9,"B",1
"1881",515087,25,"A",1
"1883",548126,47,"A",1
"1884",186303,36,"B",1
"1887",433504,56,"A",1
"1888",767702,44,"B",1
"1889",760438,18,"A",1
"1892",159196,5,"B",1
"1893",408008,12,"A",1
"1894",285980,22,"B",1
"1900",209383,19,"B",1
"1902",193766,38,"B",1
"1904",896251,38,"B",1
"1905",226632,23,"A",1
"1906",641143,15,"B",1
"1907",523129,36,"A",1
"1908",643954,29,"B",1
"1909",154911,29,"A",1
"1910",990191,47,"B",1
"1912",714556,54,"B",1
"1913",571237,3,"A",1
"1915",530629,47,"A",1
"1917",768648,20,"A",1
"1918",203620,12,"B",1
"1919",817798,20,"A",1
"1921",862986,12,"A",1
"1923",984771,15,"A",1
"1925",602188,17,"A",1
"1926",321719,10,"B",1
"1927",258955,5,"A",1
"1933",536080,9,"A",1
"1935",628362,15,"A",1
"1940",863394,5,"B",1
"1941",731364,30,"A",1
"1942",245948,12,"B",1
"1945",887898,19,"A",1
"1946",332948,13,"B",1
"1947",126100,8,"A",1
"1948",673122,33,"B",1
"1950",275975,34,"B",1
"1952",391639,32,"B",1
"1954",999629,6,"B",1
"1955",568396,3,"A",1
"1959",934084,35,"A",1
"1961",467630,4,"A",1
"1966",259996,13,"B",1
"1968",684992,39,"B",1
"1969",405040,6,"A",1
"1971",475471,16,"A",1
"1973",306864,50,"A",1
"1974",225655,79,"B",1
"1975",271397,32,"A",1
"1976",258055,29,"B",1
"1978",389041,46,"B",1
"1980",731468,3,"B",1
"1985",368801,40,"A",1
"1986",389581,3,"B",1
"1988",737824,47,"B",1
"1990",631017,20,"B",1
"1991",584408,78,"A",1
"1994",566151,54,"B",1
"1996",656334,25,"B",1
"1998",982601,12,"B",1
"2002",268771,25,"B",1
"2004",654123,62,"B",1
"2005",129409,19,"A",1
"2007",956444,2,"A",1
"2009",559968,5,"A",1
"2011",656703,6,"A",1
"2012",960737,24,"B",1
"2013",126946,35,"A",1
"2014",675114,6,"B",1
"2019",258529,6,"A",1
"2021",704343,19,"A",1
"2022",955215,6,"B",1
"2030",996750,19,"B",1
"2032",496676,30,"B",1
"2034",835934,31,"B",1
"2035",250376,5,"A",1
"2038",456205,14,"B",1
"2039",772787,46,"A",1
"2040",592640,25,"B",1
"2041",378835,6,"A",1
"2044",402868,16,"B",1
"2045",247356,5,"A",1
"2046",870870,18,"B",1
"2048",354480,31,"B",1
"2051",717237,13,"A",1
"2052",790594,12,"B",1
"2055",690465,72,"A",1
"2064",546220,43,"B",1
"2069",700211,7,"A",1
"2071",531864,20,"A",1
"2073",827600,26,"A",1
"2074",632578,15,"B",1
"2075",158730,4,"A",1
"2076",558561,13,"B",1
"2077",283195,16,"A",1
"2081",679996,18,"A",1
"2082",330137,6,"B",1
"2087",527237,5,"A",1
"2091",315590,5,"A",1
"2093",359064,10,"A",1
"2094",968778,21,"B",1
"2095",898898,19,"A",1
"2099",357826,19,"A",1
"2100",758776,37,"B",1
"2101",197760,25,"A",1
"2102",167603,12,"B",1
"2103",680558,6,"A",1
"2104",580833,27,"B",1
"2108",229045,60,"B",1
"2111",491447,38,"A",1
"2114",225285,17,"B",1
"2115",212925,17,"A",1
"2116",451009,48,"B",1
"2118",208845,11,"B",1
"2119",610098,25,"A",1
"2120",891401,21,"B",1
"2121",455105,33,"A",1
"2123",199580,16,"A",1
"2124",904507,3,"B",1
"2127",336102,5,"A",1
"2128",771981,11,"B",1
"2130",780481,47,"B",1
"2132",514494,47,"B",1
"2135",919424,26,"A",1
"2137",630063,7,"A",1
"2139",494786,52,"A",1
"2140",208584,39,"B",1
"2141",148428,25,"A",1
"2142",702377,31,"B",1
"2143",858865,25,"A",1
"2144",550839,11,"B",1
"2147",813815,30,"A",1
"2149",922214,22,"A",1
"2151",501219,22,"A",1
"2156",270994,28,"B",1
"2158",143650,71,"B",1
"2162",991144,2,"B",1
